,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,6,5,5,6,6,4,6,0,2,39279847.18262014,426164635.79953414,0.017519699699531648
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,6,2,3,0,4,4,3,0,3,2,6,6,6,3,2480471.8484271644,508999169.78203905,0.00016067749214087142
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,4,0,4,0,0,8,6,3,4,120676056.72160354,341914391.6204641,0.0060671660012351575
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,4,3,0,7,4,7,5,3,6,6,7,7,0.0,564888108.4937905,0.0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,6,0,6,3,0,6,3,4,0,5,9,5,1,0,14609311.659433588,476625921.3718122,0.000431121604702026
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,2,1,3,0,0,6,7,0,3,8,4,4,0,74351580.23309077,387557846.79507804,0.005849576442823255
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,4,0,4,3,0,6,6,7,2,68213064.87038498,417594880.05958885,0.0036953487432175632
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,5,0,7,0,0,2,7,6,0,4,9,4,1,1,22917880.274119142,445171231.2024192,0.0012976433453070586
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,5,3,3,1,1,6,0,8,6,3,0,21880547.419213995,464103613.52107286,0.0020752185752603808
9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,5,3,0,7,1,0,2,2,1,6,0,1,1361430.4879227648,541522504.6212314,4.442876471495584e-05
