,epsilon_progress,nfe
0,0,0
1,94,100
2,1016,1196
3,1867,2290
4,2555,3388
5,3157,4486
6,3684,5579
7,4227,6676
8,4707,7676
9,5119,8774
10,5557,9870
11,5969,10960
12,6331,12059
13,6708,13148
14,7020,14148
15,7311,15241
16,7602,16336
17,7886,17336
18,8198,18432
19,8464,19527
20,8855,20625
21,9157,21722
22,9505,22811
23,9734,23907
24,9988,24998
25,10209,26093
26,10447,27178
27,10707,28271
28,10918,29369
29,11146,30467
30,11356,31563
31,11517,32661
32,11697,33758
33,11880,34849
34,12089,35936
35,12296,37032
36,12467,38130
37,12672,39226
38,12848,40319
39,13078,41412
40,13198,42503
41,13380,43503
42,13579,44597
43,13751,45690
44,13889,46786
45,14058,47879
46,14250,48972
47,14354,50068
