,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,Gelderland_Damages,Overijssel_Damages,Total_Damages
205,1.2329175167818118e+17,6479734831963875.0,103082129078647.27,55122223790835.0,1575120855636.3787,1.4982389064621427e+17,62979186332259.09,1.5150034590546013e+17
284,2.338843101515661e+17,1669977288160923.8,19562081194511.42,24234859082975.195,2288281433350.124,2.4413935285710982e+17,32403186163202.625,2.4521361061448666e+17
426,1.1652125561324046e+17,757566975179444.0,100456616994489.72,33140972375892.06,41093856282.1623,1.2363425807082501e+17,33674801884961.46,1.2481180664806406e+17
798,5.984605024751772e+16,555921566014032.25,511859506937567.6,39938307786077.4,1424284010348.8762,6.827985881169095e+16,46245228073202.4,6.9712780384703896e+16
2551,1.2329175167818118e+17,773676246318117.6,23784675200837.31,139813134556172.38,3069272672526.6343,1.3032955944666818e+17,155681455522972.1,1.3392793257544758e+17
2722,2.567294414843499e+16,7251461615344842.0,453747723933122.1,68084565520688.22,2981522623549.2646,4.940589222919552e+16,81389291866650.39,5.095108409421715e+16
2939,1.0118636189639864e+17,1306808461299098.5,483830328683004.0,564332156834.7,851915802706.6777,1.1288249353367032e+17,2031985005855.5066,1.1303788694041194e+17
3032,2.338843101515661e+17,1669977288160923.8,71164422431931.89,29675818845602.95,451049917393.03973,2.446391416091291e+17,32399377025723.695,2.458109081215548e+17
3869,5.984605024751772e+16,1422193279139450.8,500579971457751.6,150147108627121.97,3565347425647.432,7.214197466932408e+16,168273656350247.34,7.554769158634595e+16
4898,1.2329175167818118e+17,53152400042380.69,4062026252976.17,46217990836064.32,1451777963707.1047,1.2472223207185416e+17,52745139821819.28,1.2656630597771138e+17
4958,7465263482834170.0,612800805847598.9,490074479389186.1,56418034099115.24,7771413614354.19,1.2374000310238734e+16,80342929984132.78,1.3532852005851568e+16
5682,1.0118636189639864e+17,1306808461299098.5,123844848105635.77,33094883612102.32,3410260861009.0254,1.108837555456507e+17,44602844097395.88,1.1220033428404763e+17
5712,2.78748383932665e+16,2141350454504017.8,23475433525996.082,83030201023898.58,5051962639486.74,3.759353506656617e+16,102754062747953.08,3.9534222884497496e+16
6534,1.2329175167818118e+17,173054933637902.9,454146135502579.06,44199086564582.77,36773245951.77187,1.2950072577275365e+17,44728949497117.09,1.3111584911152306e+17
6835,1.2329175167818118e+17,1311641126348969.8,482653615934694.9,132575570728071.28,473099192415.41003,1.360085922871575e+17,136775734601812.45,1.3924522148166691e+17
7116,1.2329175167818118e+17,8573438435473416.0,78465812553914.61,99929668498605.52,1117205947991.9485,1.549907064395292e+17,107378074434685.22,1.5737747261172685e+17
7332,2.5755262526791092e+16,2130938412468328.0,85613767754362.08,47614891434745.85,4893079250972.385,3.568049718039385e+16,64485004575109.93,3.7048117018952296e+16
7401,1.0118636189639864e+17,1895092779401688.0,18042364710246.934,39171537133981.87,2902532667448.977,1.1217188518598894e+17,50089099219713.7,1.1364103143844264e+17
7548,9969046043053444.0,210000539931889.75,495491659294264.75,58208047725121.516,8517085940447.916,1.37773234382873e+16,83607672433801.3,1.5093120778899228e+16
