policy,12,36,108,324,,,,scenario
Baseline,63853861829,64333073739,62768288076,68990974324,,,,80
GEL_OP_v1(0),19064029249,19561376822,19920048743,21428288789,,,,
GEL_OP_v1(1),11012425807,10439822192,10485568936,10719594544,,,,
GEL_OP_v1(2),15341036212,13940089883,13859587436,15928055290,,,,
GEL_OP_v1(3),14134585792,12658022397,12329799495,12777950976,,,,
,,,,,,,,
,,,,,,,,
policy,12,36,108,324,,,,
Baseline,822133791,160917334.3,194278136.7,991408135.7,,,,
GEL_OP_v1(0),15695762.18,29570237.39,19504904.27,573655146.2,,,,
GEL_OP_v1(1),5075059.02,84268001.32,181288545.3,53975454.92,,,,
GEL_OP_v1(2),10823299.77,55804423.88,108087144.8,228636422.5,,,,
GEL_OP_v1(3),5739805.879,155651587.9,186575052.7,118348375.9,,,,
